adaptability,expertise,shared_leadership,low,medium,high,expert,method,parent_configuration
l,m,h,0.3675,0.395,0.2375,4,WSA,6
l,h,l,0.475,0.2125,0.3125,4,WSA,7
l,h,m,0.3625,0.325,0.3125,4,WSA,8
l,h,h,0.35,0.15,0.5,4,WSA,9
m,l,l,0.4975,0.4325,0.07,4,WSA,10
m,l,m,0.385,0.545,0.07,4,WSA,11
m,l,h,0.3725,0.37,0.2575,4,WSA,12
m,m,l,0.2,0.7,0.1,4,WSA,13
m,m,m,0.1,0.85,0.05,4,WSA,14
m,m,h,0.1275,0.615,0.2575,4,WSA,15
m,h,l,0.235,0.4325,0.3325,4,WSA,16
m,h,m,0.1225,0.545,0.3325,4,WSA,17
m,h,h,0.11,0.37,0.52,4,WSA,18
h,l,l,0.4375,0.2125,0.35,4,WSA,19
h,l,m,0.325,0.325,0.35,4,WSA,20
h,l,h,0.3125,0.15,0.5375,4,WSA,21
h,m,l,0.1925,0.4575,0.35,4,WSA,22
h,m,m,0.08,0.57,0.35,4,WSA,23
h,m,h,0.0675,0.395,0.5375,4,WSA,24
h,h,l,0.175,0.2125,0.6125,4,WSA,25
h,h,m,0.0625,0.325,0.6125,4,WSA,26
h,h,h,0.05,0.15,0.8,4,WSA,27
l,l,l,0.7643,0.1659,0.0698,4,WSAAHP,1
l,l,m,0.6027,0.2946,0.1027,4,WSAAHP,2
l,l,h,0.5897,0.1742,0.2362,4,WSAAHP,3
l,m,l,0.669,0.2572,0.0738,4,WSAAHP,4
l,m,m,0.3765,0.4747,0.1488,4,WSAAHP,5
l,m,h,0.3634,0.3545,0.2822,4,WSAAHP,6
l,h,l,0.4959,0.2005,0.3037,4,WSAAHP,7
l,h,m,0.3581,0.3063,0.3356,4,WSAAHP,8
l,h,h,0.345,0.186,0.469,4,WSAAHP,9
m,l,l,0.5201,0.4029,0.077,4,WSAAHP,10
m,l,m,0.3823,0.5088,0.1089,4,WSAAHP,11
m,l,h,0.3692,0.3885,0.2424,4,WSAAHP,12
m,m,l,0.2133,0.7014,0.0853,4,WSAAHP,13
m,m,m,0.1179,0.6807,0.2014,4,WSAAHP,14
m,m,h,0.1429,0.5687,0.2885,4,WSAAHP,15
m,h,l,0.2755,0.4147,0.3099,4,WSAAHP,16
m,h,m,0.1377,0.5205,0.3418,4,WSAAHP,17
m,h,h,0.1245,0.4002,0.4753,4,WSAAHP,18
h,l,l,0.461,0.2021,0.337,4,WSAAHP,19
h,l,m,0.3231,0.308,0.3689,4,WSAAHP,20
h,l,h,0.3101,0.1876,0.5023,4,WSAAHP,21
h,m,l,0.2347,0.3823,0.383,4,WSAAHP,22
h,m,m,0.0969,0.4882,0.4149,4,WSAAHP,23
h,m,h,0.0838,0.3679,0.5484,4,WSAAHP,24
h,h,l,0.2163,0.2139,0.5699,4,WSAAHP,25
h,h,m,0.0785,0.3197,0.6018,4,WSAAHP,26
h,h,h,0.0654,0.1994,0.7352,4,WSAAHP,27
l,l,l,0.9582,0.0418,0,4,RNM,1
l,l,m,0.8724,0.1276,0,4,RNM,2
l,l,h,0.7163,0.2837,0,4,RNM,3
l,m,l,0.7163,0.2837,0,4,RNM,4
l,m,m,0.2909,0.7071,0.002,4,RNM,5
l,m,h,0.0477,0.9117,0.0406,4,RNM,6
l,h,l,0.2909,0.7071,0.002,4,RNM,7
l,h,m,0.0477,0.9117,0.0406,4,RNM,8
l,h,h,0.0018,0.715,0.2832,4,RNM,9
m,l,l,0.8724,0.1276,0,4,RNM,10
m,l,m,0.7163,0.2837,0,4,RNM,11
m,l,h,0.5023,0.4975,0.0002,4,RNM,12
m,m,l,0.2909,0.7071,0.002,4,RNM,13
m,m,m,0.0477,0.9117,0.0406,4,RNM,14
m,m,h,0.0112,0.8628,0.126,4,RNM,15
m,h,l,0.0477,0.9117,0.0406,4,RNM,16
m,h,m,0.0018,0.715,0.2832,4,RNM,17
m,h,h,0,0.2916,0.7084,4,RNM,18
h,l,l,0.7163,0.2837,0,4,RNM,19
h,l,m,0.5023,0.4975,0.0002,4,RNM,20
h,l,h,0.2909,0.7071,0.002,4,RNM,21
h,m,l,0.0477,0.9117,0.0406,4,RNM,22
h,m,m,0.0112,0.8628,0.126,4,RNM,23
h,m,h,0.0018,0.715,0.2832,4,RNM,24
h,h,l,0.0018,0.715,0.2832,4,RNM,25
h,h,m,0,0.2916,0.7084,4,RNM,26
h,h,h,0,0.0491,0.9509,4,RNM,27
l,l,l,0.85,0.1,0.05,5,WSA,1
l,l,m,0.7,0.25,0.05,5,WSA,2
l,l,h,0.645,0.175,0.18,5,WSA,3
l,m,l,0.47,0.405,0.125,5,WSA,4
l,m,m,0.33,0.535,0.135,5,WSA,5
l,m,h,0.32,0.425,0.255,5,WSA,6
l,h,l,0.395,0.155,0.45,5,WSA,7
l,h,m,0.255,0.285,0.46,5,WSA,8
l,h,h,0.245,0.175,0.58,5,WSA,9
m,l,l,0.8,0.15,0.05,5,WSA,10
m,l,m,0.505,0.39,0.105,5,WSA,11
m,l,h,0.495,0.28,0.225,5,WSA,12
m,m,l,0.32,0.51,0.17,5,WSA,13
m,m,m,0.1,0.8,0.1,5,WSA,14
